trade_date,open,high,low,close,volume,dividend,in_sp500
1996-01-02,95.25742563663141,95.25742563663141,95.25742563663141,95.25742563663141,320320.0,0.0,1
1996-01-03,94.02860484591886,94.02860484591886,94.02860484591886,94.02860484591886,628155.0,0.0,1
1996-01-04,95.015905196801,95.015905196801,95.015905196801,95.015905196801,949536.0,0.0,1
1996-01-05,97.73336008542951,97.73336008542951,97.73336008542951,97.73336008542951,317700.0,0.0,1
1996-01-08,96.17939966007118,96.17939966007118,96.17939966007118,96.17939966007118,37269.0,0.0,1
1996-01-09,96.95845279731776,96.95845279731776,96.95845279731776,96.95845279731776,566700.0,0.0,1
1996-01-10,98.5873548043127,98.5873548043127,98.5873548043127,98.5873548043127,517824.0,0.0,1
1996-01-11,100.49994948751637,100.49994948751637,100.49994948751637,100.49994948751637,158572.0,0.0,1
1996-01-12,99.62559992697499,99.62559992697499,99.62559992697499,99.62559992697499,370170.0,0.0,1
1996-01-15,101.68784984546336,101.68784984546336,101.68784984546336,101.68784984546336,367370.0,0.0,1
1996-01-16,100.12185695784324,100.12185695784324,100.12185695784324,100.12185695784324,459954.0,0.0,1
1996-01-17,101.0429780418554,101.0429780418554,101.0429780418554,101.0429780418554,246479.0,0.0,1
1996-01-18,100.58828464066706,100.58828464066706,100.58828464066706,100.58828464066706,752100.0,0.0,1
1996-01-19,103.55563903756673,103.55563903756673,103.55563903756673,103.55563903756673,409536.0,0.0,1
1996-01-22,100.90461467820504,100.90461467820504,100.90461467820504,100.90461467820504,562944.0,0.0,1
1996-01-23,99.04796976812607,99.04796976812607,99.04796976812607,99.04796976812607,897660.0,0.0,1
1996-01-24,99.12720814394056,99.12720814394056,99.12720814394056,99.12720814394056,439500.0,0.0,1
1996-01-25,98.93886644846708,98.93886644846708,98.93886644846708,98.93886644846708,490160.00000000006,0.0,1
1996-01-26,98.21661272339327,98.21661272339327,98.21661272339327,98.21661272339327,391599.0,0.0,1
1996-01-29,96.53710864582324,96.53710864582324,96.53710864582324,96.53710864582324,1737191.0,0.0,1
1996-01-30,95.17593541391713,95.17593541391713,95.17593541391713,95.17593541391713,458495.0,0.0,1
1996-01-31,97.64099214113759,97.64099214113759,97.64099214113759,97.64099214113759,1138560.0,0.0,1
1996-02-01,99.16419161853933,99.16419161853933,99.16419161853933,99.16419161853933,630000.0,0.0,1
1996-02-02,98.34112882810545,98.34112882810545,98.34112882810545,98.34112882810545,920955.0,0.0,1
1996-02-05,99.65889995440207,99.65889995440207,99.65889995440207,99.65889995440207,499380.0,0.0,1
1996-02-06,101.8713275333898,101.8713275333898,101.8713275333898,101.8713275333898,743540.0,0.0,1
1996-02-07,102.68629815365692,102.68629815365692,102.68629815365692,102.68629815365692,1205256.0,0.0,1
1996-02-08,101.92641954731987,101.92641954731987,101.92641954731987,101.92641954731987,594596.0,0.0,1
1996-02-09,100.79503629034461,100.79503629034461,100.79503629034461,100.79503629034461,726432.0,0.0,1
1996-02-12,102.49847240365143,102.49847240365143,102.49847240365143,102.49847240365143,314211.0,0.0,1
1996-02-13,104.40494399035934,104.40494399035934,104.40494399035934,104.40494399035934,1678212.0,0.0,1
1996-02-14,107.37004439968554,107.37004439968554,107.37004439968554,107.37004439968554,966699.0000000001,0.0,1
1996-02-15,108.13237171492332,108.13237171492332,108.13237171492332,108.13237171492332,800523.0,0.0,1
1996-02-16,105.8940316204244,105.8940316204244,105.8940316204244,105.8940316204244,624550.9999999999,0.0,1
1996-02-20,105.56576012240109,105.56576012240109,105.56576012240109,105.56576012240109,656231.0,0.0,1
1996-02-21,103.03218187946347,103.03218187946347,103.03218187946347,103.03218187946347,559187.0,0.0,1
1996-02-22,105.56677355369825,105.56677355369825,105.56677355369825,105.56677355369825,1013491.9999999999,0.0,1
1996-02-23,104.32108562576461,104.32108562576461,104.32108562576461,104.32108562576461,564672.0,0.0,1
1996-02-26,107.34639710891177,107.34639710891177,107.34639710891177,107.34639710891177,2115144.0,0.0,1
1996-02-27,109.86903744097121,109.86903744097121,109.86903744097121,109.86903744097121,843156.0000000001,0.0,1
1996-02-28,107.2871150611084,107.2871150611084,107.2871150611084,107.2871150611084,623414.0,0.0,1
1996-02-29,104.60493718458068,104.60493718458068,104.60493718458068,104.60493718458068,1658356.0,0.0,1
1996-03-01,107.58617789434122,107.58617789434122,107.58617789434122,107.58617789434122,304587.0,0.0,1
1996-03-04,105.4344543364544,105.4344543364544,105.4344543364544,105.4344543364544,412608.0,0.0,1
1996-03-05,104.34847945678892,104.34847945678892,104.34847945678892,104.34847945678892,481714.0,0.0,1
1996-03-06,106.07022936782593,106.07022936782593,106.07022936782593,106.07022936782593,492200.0,0.0,1
1996-03-07,109.02958876718827,109.02958876718827,109.02958876718827,109.02958876718827,376465.0,0.0,1
1996-03-08,110.68683851644954,110.68683851644954,110.68683851644954,110.68683851644954,562222.0,0.0,1
1996-03-11,108.87157436477978,108.87157436477978,108.87157436477978,108.87157436477978,487900.0,0.0,1
1996-03-12,105.68163723589173,105.68163723589173,105.68163723589173,105.68163723589173,287604.0,0.25,1
1996-03-13,105.80845520057481,105.80845520057481,105.80845520057481,105.80845520057481,312480.00000000006,0.0,1
1996-03-14,108.66528349099032,108.66528349099032,108.66528349099032,108.66528349099032,349840.0,0.0,1
1996-03-15,106.72017491650159,106.72017491650159,106.72017491650159,106.72017491650159,253080.0,0.0,1
1996-03-18,106.97630333630119,106.97630333630119,106.97630333630119,106.97630333630119,302940.0,0.0,1
1996-03-19,104.98654409424599,104.98654409424599,104.98654409424599,104.98654409424599,207417.0,0.0,1
1996-03-20,104.94454947660829,104.94454947660829,104.94454947660829,104.94454947660829,230406.99999999997,0.0,1
1996-03-21,106.62366226823403,106.62366226823403,106.62366226823403,106.62366226823403,366870.0,0.0,1
1996-03-22,105.56808801177851,105.56808801177851,105.56808801177851,105.56808801177851,169764.0,0.0,1
1996-03-25,107.06715486154577,107.06715486154577,107.06715486154577,107.06715486154577,204044.0,0.0,1
1996-03-26,107.23846230932425,107.23846230932425,107.23846230932425,107.23846230932425,1429458.0000000002,0.0,1
1996-03-27,109.69422309620776,109.69422309620776,109.69422309620776,109.69422309620776,892738.0,0.0,1
1996-03-28,111.88810755813192,111.88810755813192,111.88810755813192,111.88810755813192,239300.0,0.0,1
1996-03-29,112.15663901627143,112.15663901627143,112.15663901627143,112.15663901627143,205152.0,0.0,1
1996-04-01,113.77169461810573,113.77169461810573,113.77169461810573,113.77169461810573,183135.0,0.0,1
1996-04-02,117.17346828718709,117.17346828718709,117.17346828718709,117.17346828718709,333123.0,0.0,1
1996-04-03,113.92776321563201,113.92776321563201,113.92776321563201,113.92776321563201,911091.0,0.0,1
1996-04-04,115.68225076915276,115.68225076915276,115.68225076915276,115.68225076915276,596775.0,0.0,1
1996-04-08,114.8840432388456,114.8840432388456,114.8840432388456,114.8840432388456,332129.0,0.0,1
1996-04-09,114.92999685614114,114.92999685614114,114.92999685614114,114.92999685614114,602800.0,0.0,1
1996-04-10,115.34374484482326,115.34374484482326,115.34374484482326,115.34374484482326,932330.0,0.0,1
1996-04-11,114.04036052807676,114.04036052807676,114.04036052807676,114.04036052807676,611632.0,0.0,1
1996-04-12,114.96408744835418,114.96408744835418,114.96408744835418,114.96408744835418,1697650.0,0.0,1
1996-04-15,118.3440316193358,118.3440316193358,118.3440316193358,118.3440316193358,389568.0,0.0,1
1996-04-16,119.82333201457749,119.82333201457749,119.82333201457749,119.82333201457749,684054.0,0.0,1
1996-04-17,122.97468564656087,122.97468564656087,122.97468564656087,122.97468564656087,343392.0,0.0,1
1996-04-18,124.36429959436703,124.36429959436703,124.36429959436703,124.36429959436703,194208.0,0.0,1
1996-04-19,122.68538154984307,122.68538154984307,122.68538154984307,122.68538154984307,785592.0,0.0,1
1996-04-22,124.01038367058136,124.01038367058136,124.01038367058136,124.01038367058136,260988.0,0.0,1
1996-04-23,125.53571138972951,125.53571138972951,125.53571138972951,125.53571138972951,199025.0,0.0,1
1996-04-24,126.50233636743043,126.50233636743043,126.50233636743043,126.50233636743043,220896.0,0.0,1
1996-04-25,129.24743706660368,129.24743706660368,129.24743706660368,129.24743706660368,363860.0,0.0,1
1996-04-26,132.43984876214878,132.43984876214878,132.43984876214878,132.43984876214878,156940.0,0.0,1
1996-04-29,133.7907352195227,133.7907352195227,133.7907352195227,133.7907352195227,196080.0,0.0,1
1996-04-30,136.6806151002644,136.6806151002644,136.6806151002644,136.6806151002644,201852.0,0.0,1
1996-05-01,133.9333347367491,133.9333347367491,133.9333347367491,133.9333347367491,185748.0,0.2425,1
1996-05-02,134.05387473801215,134.05387473801215,134.05387473801215,134.05387473801215,305592.0,0.0,1
1996-05-03,133.3433892019007,133.3433892019007,133.3433892019007,133.3433892019007,379957.0,0.0,1
1996-05-06,130.74319311246364,130.74319311246364,130.74319311246364,130.74319311246364,241724.0,0.0,1
1996-05-07,131.4622806745822,131.4622806745822,131.4622806745822,131.4622806745822,432911.99999999994,0.0,1
1996-05-08,134.24928102488335,134.24928102488335,134.24928102488335,134.24928102488335,381990.0,0.0,1
1996-05-09,133.00076271135194,133.00076271135194,133.00076271135194,133.00076271135194,388926.0,0.0,1
1996-05-10,134.4903712537191,134.4903712537191,134.4903712537191,134.4903712537191,183008.00000000003,0.0,1
1996-05-13,133.26650887531025,133.26650887531025,133.26650887531025,133.26650887531025,363090.0,0.0,1
1996-05-14,132.84005604690927,132.84005604690927,132.84005604690927,132.84005604690927,381881.0,0.0,1
1996-05-15,133.6769484000048,133.6769484000048,133.6769484000048,133.6769484000048,245280.0,0.0,1
1996-05-16,130.18798004676466,130.18798004676466,130.18798004676466,130.18798004676466,392184.0,0.0,1
1996-05-17,132.19287493948485,132.19287493948485,132.19287493948485,132.19287493948485,251114.0,0.0,1
1996-05-20,129.40360527826172,129.40360527826172,129.40360527826172,129.40360527826172,328770.0,0.0,1
1996-05-21,126.28497839105562,126.28497839105562,126.28497839105562,126.28497839105562,379755.0,0.0,1
1996-05-22,125.41361204015733,125.41361204015733,125.41361204015733,125.41361204015733,545300.0,0.0,1
1996-05-23,128.05983925420463,128.05983925420463,128.05983925420463,128.05983925420463,133650.0,0.0,1
1996-05-24,129.08431796823828,129.08431796823828,129.08431796823828,129.08431796823828,160776.0,0.0,1
1996-05-28,130.25898526174927,130.25898526174927,130.25898526174927,130.25898526174927,127555.0,0.0,1
1996-05-29,133.05955344487688,133.05955344487688,133.05955344487688,133.05955344487688,208022.0,0.0,1
1996-05-30,131.87532341921747,131.87532341921747,131.87532341921747,131.87532341921747,255374.0,0.0,1
1996-05-31,129.75213071216805,129.75213071216805,129.75213071216805,129.75213071216805,170476.0,0.0,1
1996-06-03,126.11907105222734,126.11907105222734,126.11907105222734,126.11907105222734,129888.0,0.0,1
1996-06-04,126.497428265384,126.497428265384,126.497428265384,126.497428265384,152511.0,0.0,1
1996-06-05,130.0899552281209,130.0899552281209,130.0899552281209,130.0899552281209,259973.99999999997,0.0,1
